Premise,Proof,Hypothesis,Correctness,Minimality,Useful Facts,"Hypothesis
Follows"
a young boy in green shorts balances on a pipe above a river,"Fact: a boy is a young male human.
Composition / Monotone: a human balancing

Fact: boy is a person.
Composition / Monotone: a human balancing

Fact: a boy is a young person
Composition / Monotone: a person balancing

",a person balancing,3.0,1.0,1.0,2.0
a bearded man jumps in the snow with the ocean in the background and an orange recumbent bike parked near a road sign,"Fact: jumping are activities.
Composition / Monotone: a person jumping

",a human jumping,1.0,1.0,0.0,2.0
couples enjoying a meal while a bunch of dogs take a nap,"Fact: dogs are a type of animal
Composition / Monotone: some animals are asleep

",some animals are asleep,1.0,1.0,1.0,2.0
a white duck expanding its wings in the water,"Fact: a duck is part of animal
Composition / Monotone: there is an animal outside

Fact: a wing is part of a animal
Composition / Monotone: there is an animal in this picture

",there is one animal in this picture,1.0,2.0,1.0,1.0
a woman wearing jeans is walking down the street,"Fact: a lady is a woman
Composition / Monotone: a person is outdoors

Fact: lady is a woman.
Composition / Monotone: a person is outside

",a person is outside,2.0,1.0,0.0,2.0
a woman in a black jacket and a black and white striped skirt is watching a woman talking to a little boy sitting on concrete steps,"Fact: a child is a person
Composition / Monotone: a man watching someone talk to a child

",a person is talking to a child while another person watches,0.0,1.0,0.0,2.0
three men are carrying a red bag into a boat with another person and boat in the background,"Fact: a person knows other people
Composition / Monotone: people in a boat

",some people put something in a boat in a place with more than one boat,1.0,1.0,0.0,2.0
a female runner dressed in blue athletic wear is running in a competition while spectators line the street,"Fact: spectators can watch sport
Composition / Monotone: there are people on the street

Fact: spectators can watch a race
Composition / Monotone: there are people on the street

",there are people on the street,2.0,1.0,0.0,2.0
a man is painting a picture outside behind a crowd,"Fact: painter can paint a picture
Composition / Monotone: the painter is painting a picture

",a painter is creating a picture,1.0,1.0,1.0,2.0
a blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something,"Fact: closed fists make it easier to get hands through sleeves.
Composition / Monotone: the little boy is using scissors

",a little male has clothes on with a pair of scissors in his hands,1.0,1.0,0.0,2.0
a man cooking over high flames,"Fact: a man is a male person.
Composition / Monotone: a person is preparing food

",a person is preparing some food,1.0,1.0,1.0,2.0
four men stand in a circle facing each other playing brass instruments which people watch them,"Fact: people make music.
Composition / Monotone: the men are playing music

",the men are playing music,1.0,1.0,0.0,2.0
a group of footballs players is standing behind a coaching official,"Fact: people is a group.
Composition / Monotone: there are multiple people present

",there are multiple people present,1.0,1.0,1.0,2.0
two men in neon yellow shirts busily sawing a log in half,"Fact: shirts are a form of clothing.
Composition / Monotone: two men are using a saw

",two men are using a saw,1.0,1.0,0.0,2.0
a man is working on a earthen structure with a pickaxe,"Fact: tools can be found in a hardware shop.
Composition / Monotone: the man is using tools

",a man has tools,1.0,1.0,0.0,2.0
a man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat,"Fact: a man is a male
Composition / Monotone: the males are performing martial arts exercises

Fact: a man is a male human
Composition / Monotone: two males are human performing martial arts exercises

Fact: karate is a japanese martial art
Composition / Monotone: two males are doing martial arts

Fact: karate is one of the martial arts
Composition / Monotone: the two males do martial arts

",two males are involved in martial arts,1.0,2.0,2.0,2.0
two guys walking one carrying a skateboard,"Fact: if we are men we a are guys
Composition / Monotone: two men are walking

",both of the men are walking,1.0,1.0,1.0,2.0
kid holding handles on two wheeled object,"Fact: hands have thumbs.
Composition / Monotone: the kid has hands

",the kid has hands,1.0,1.0,0.0,1.0
a man holding some sort of vegetables while his wife in a red sweater stares to the side and his daughter in a red sweater looks at the camera,"Fact: a sweater is a piece of clothing.
Composition / Monotone: a man is holding a vegetable

Fact: a sweater is a garment
Composition / Monotone: a man holding a vegetable

",a man holds a vegetable,2.0,1.0,0.0,2.0
a young man holds a hammer shaped object in the air with one hand and a similar shaped object in the other while making a funny expression,"Fact: a guy is a man
Composition / Monotone: a person is holding a tool

",a person is holding a tool,1.0,1.0,0.0,2.0
a man is watching as a woman is reading a piece of paper,"Fact: woman is a person.
Composition / Monotone: a person watching another person

Fact: woman is a someone.
Composition / Monotone: a person watching someone

",a person watches someone,2.0,1.0,1.0,2.0
a baby girl and little boy are standing next to a guitar and a drum,"Fact: a drum is a percussive instrument
Composition / Monotone: a little girl is holding a percussive instrument

",the girl is near an instrument,0.0,1.0,1.0,2.0
boys in what appears to be a library or school room,"Fact: girls and boys are children.
Composition / Monotone: children are indoors

",children are indoors,1.0,1.0,1.0,2.0
a young boy sits outside in a grassy field with his back turned towards the viewer he is holding a wooden toy that can be spun between your hands and launched into the air,"Fact: a child can own a toy
Composition / Monotone: a child plays outside

Fact: a boy can own a toy
Composition / Monotone: a child plays outdoors

",a child plays outdoors,2.0,1.0,0.0,2.0
kids work at computers with a teachers help,"Fact: you are likely to find a main entrance in the front
Composition / Monotone: children are at their computers

",the kids sit in front of computers,1.0,1.0,0.0,2.0
a worker is doing a job on scaffolding,"Fact: worker is a somebody.
Composition / Monotone: a human working

",a human working,1.0,1.0,0.0,2.0
a man wearing black pants rides along a concrete ledge on rollerblades,"Fact: a man's suit includes pants.
Composition / Monotone: he is on a ledge

",the ledge is made of a hard substance,1.0,1.0,0.0,0.0
a boy in shorts doing a skateboard trick,"Fact: people desire leisure time.
Composition / Monotone: the boy is interested in leisure activity

",a boy engaged in a leisure activity,0.0,1.0,0.0,1.0
a worker is on a cherry picker in a palm tree,"Fact: a worker is a person
Composition / Monotone: someone is working on a tree

",a person is messing with a tree,1.0,1.0,1.0,2.0
am man riding a very tall bicycle down the street past a large brick building,"Fact: a bicycle is for riding
Composition / Monotone: a man rides a bike outside

",a man rides a bike outside,1.0,1.0,0.0,2.0
a musician playing his violin,"Fact: a violin is an instrument.
Composition / Monotone: a person playing an instrument

",a person is playing an instrument,1.0,1.0,1.0,2.0
a man with beard sitting down playing an acoustic guitar,"Fact: one can play music with a guitar.
Composition / Monotone: a musician is playing an instrument

Fact: a guitar is for playing music
Composition / Monotone: a musician plays an instrument

",a musician plays on his instrument,2.0,1.0,1.0,2.0
the little boy stands in the middle of birds who have gathered on the sidewalk,"Fact: boys are a different group of people.
Composition / Monotone: there are many birds on the sidewalk

",there are a lot of birds outside by the sidewalk,1.0,1.0,0.0,2.0
two men and two women in jackets walk down a large city street,"Fact: women are women and men are men.
Composition / Monotone: there are people outside

",there are people outside,1.0,1.0,0.0,2.0
runners in various athletic garb as well as one individual in a spottedgreen dragon costume run to the right,"Fact: a person is one individual of the word ""people"".
Composition / Monotone: runners in a dragon costume

Fact: a person is a individual
Composition / Monotone: runners in a dragon costume are a kind of individual

",runners see a dragon costumed person,0.0,2.0,1.0,2.0
a rugby player running the ball between two downed opponents,"Fact: people can fight each other
Composition / Monotone: people are playing rugby

",some people are playing rugby,1.0,1.0,0.0,2.0
a woman in a long dark coat looks through trashcans in winter,"Fact: a trash container is for trash storage 
Composition / Monotone: a woman is looking through a container

",a woman is exploring containers for something,1.0,1.0,1.0,2.0
a woman with a blue hat is taking photos in an area covered in brush,"Fact: camera is used for taking pictures.
Composition / Monotone: the woman is holding a camera

Fact: a camera is used to take pictures.
Composition / Monotone: the woman is holding a camera

",the woman is holding a camera,2.0,1.0,1.0,2.0
a skateboarder does a trick in midair,"Fact: people can board aircraft
Composition / Monotone: a person skateboarding

Fact: a skateboard is a board
Composition / Monotone: a person is boarding with a skateboard

Fact: a person can board a plane
Composition / Monotone: a person with a skateboard is boarding

Fact: person can board plane
Composition / Monotone: a person with a skateboard is boarding

",a person skate boarding,1.0,2.0,1.0,2.0
a whiteclad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box,"Fact: a fair ball is contact
Composition / Monotone: a soccer player is attempting to intercept the ball

",a soccer player tries to get an interception,1.0,1.0,0.0,2.0
a man is holding a microphone in front of his mouth,"Fact: a man is a kind of male.
Composition / Monotone: a man is holding a device in his mouth

Fact: a man is a male.
Composition / Monotone: a guy has a device in his mouth

Fact: a man is a male
Composition / Monotone: a male has a device in the mouth

",a male has a device near his mouth,3.0,3.0,1.0,2.0
two racers race on motorcycles,"Fact: people are capable of race cars.
Composition / Monotone: two people are racing

",two people are racing,1.0,1.0,0.0,2.0
a female camera operator is capturing some offcamera activity,"Fact: lady is a woman.
Composition / Monotone: a lady is taking a picture

",a lady is taking a picture,1.0,1.0,0.0,1.0
two adults hold either side of a boat at the edge of the water,"Fact: adults are grown people and children are not
Composition / Monotone: two people are near water

",two people are near water,1.0,1.0,0.0,2.0
a five piece horn band all playing in a hall of what looks like a church,"Fact: church music enhances the sacredness of a holy place.
Composition / Monotone: people are playing music

",there are people playing music,1.0,1.0,0.0,2.0
a middleaged woman with redhair a white shirt and a silver beaded necklace is holding a yellow cellphone against her ear while talking,"Fact: cellphone is a telephone.
Composition / Monotone: the woman is on the phone

",the woman was talking on the phone,1.0,1.0,1.0,2.0
